| Line | Method | Route | Function | Protection |
| 4230 | GET | /assignments/{assignment_id}/submissions | get_assignment_submissions | get_current_user |
| 4269 | POST | /submissions/{submission_id}/grade | grade_submission | get_current_user |
| 4323 | POST | /assignments/{assignment_id}/submit | submit_assignment | get_current_user |
| 4362 | GET | /marks | get_student_marks | get_current_user |
| 4407 | POST | /marks/bulk-entry | save_student_marks_bulk | get_current_user |
| 4476 | POST | /faculty/run-risk-engine | run_risk_engine | get_current_user |
| 4588 | GET | /faculty/{faculty_id}/analytics | get_faculty_analytics | get_current_user |
| 4694 | POST | /api/v1/institution/apply | apply_institution | None |
| 4761 | GET | /api/v1/platform-admin/institution-requests | get_institution_requests | require_role(["super_admin"] |
| 4803 | POST | /api/v1/platform-admin/approve/{request_id} | approve_institution | require_role(["super_admin"] |
| 4913 | GET | /api/v1/platform-admin/dashboard-stats | get_platform_admin_stats | require_role(["super_admin"] |
| 4945 | POST | /api/v1/platform-admin/reject/{request_id} | reject_institution | require_role(["super_admin"] |
| 4973 | GET | /api/v1/platform-admin/institutions | get_all_institutions | require_role(["super_admin"] |
| 5009 | GET | /api/v1/platform-admin/users | get_all_users | require_role(["super_admin"] |
| 5040 | POST | /api/v1/admin/create-faculty | create_faculty | require_role(["admin"] |
| 5135 | POST | /api/v1/admin/create-student | create_student | require_role(["admin"] |
| 5230 | POST | /api/v1/auth/change-password | change_password | get_current_user |
| 5270 | POST | /api/v1/auth/forgot-password | forgot_password | None |
| 5280 | GET | /api/student-hub/dashboard-summary | get_student_hub_dashboard_summary | get_current_user |
| 5402 | GET | /api/student-hub/courses | get_student_hub_courses | get_current_user |
| 5433 | GET | /api/student-hub/assignments | get_student_hub_assignments | get_current_user |
| 5473 | GET | /api/student-hub/attendance | get_student_hub_attendance | get_current_user |
| 5538 | GET | /api/student-hub/grades | get_student_hub_grades | get_current_user |
| 5584 | GET | /api/student-hub/announcements | get_student_hub_announcements_api | get_current_user |
| 5588 | GET | /api/student-hub/calendar | get_student_hub_calendar | get_current_user |
| 5640 | GET | /api/v1/admin/monitoring/status | get_monitoring_status | require_role(["admin", "super_admin"] |
